"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование существующего проекта","22772","checkEditProject","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового вложенного suite","22622","checkCreateNestedSuite","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Редактирование suite","22692","checkEditeSuite","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"","12010","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-22","passed","2026-07-22","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового test case","22625","checkCreateTestCase","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового suite","22471","checkCreateSuite","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка удаления test case","22659","checkDeleteTestCase","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления suite","22656","checkDeleteSuite","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка выхода из системы","32674","checkLogout","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"","34718","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","2260","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-22","passed","2026-07-22","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания, обновления и удаления тест-кейса через API","1081","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-22","passed","2026-07-22","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка удаления существующего проекта","22655","checkDeleteProject","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка создания нового проекта","22468","checkCreateProject","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32546","checkEnd2End","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового проекта через API","412","checkCreateProject","Qase Automation Suite","2026-07-22","passed","2026-07-22","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка нажатия отмена при создании нового test case","22627","checkCancelTestCase","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка успешной авторизации пользователя","32620","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование test case","22679","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-22","failed","2026-07-22","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
