"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешной авторизации пользователя","4688","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование test case","22563","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка удаления test case","22539","checkDeleteTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления suite","22580","checkDeleteSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","12344","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового вложенного suite","22516","checkCreateNestedSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового test case","22552","checkCreateTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка удаления существующего проекта","21610","checkDeleteProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Редактирование suite","22555","checkEditeSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Редактирование существующего проекта","20671","checkEditProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка выхода из системы","32533","checkLogout","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"","4087","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка создания нового suite","22486","checkCreateSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка создания нового проекта через API","161","checkCreateProject","Qase Automation Suite","2026-07-23","skipped","2026-07-23","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка нажатия отмена при создании нового test case","22751","checkCancelTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового проекта","19903","checkCreateProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","2231","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-23","broken","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32535","checkEnd2End","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
