"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления suite","22409","checkDeleteSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка создания нового suite","9313","checkCreateSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32391","checkEnd2End","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Редактирование suite","22280","checkEditeSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания нового проекта","8973","checkOpenCreatedProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
"Проверка нажатия отмена при создании нового test case","22363","checkCancelTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового test case","22313","checkCreateTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"","5463","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка удаления test case","22779","checkDeleteTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"","1987","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка выхода из системы","12340","checkLogout","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка успешной авторизации пользователя","4405","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование существующего проекта","22582","checkEditProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового проекта через API","647","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания, обновления и удаления тест-кейса через API","1048","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка создания нового вложенного suite","22499","checkCreateNestedSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового проекта","8741","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","2389","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка удаления существующего проекта","7133","checkDeleteProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Редактирование test case","22364","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка дублирования suite","22260","checkDuplicateSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
