"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления test case","22719","checkDeleteTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка создания нового проекта","22746","checkCreateProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Редактирование существующего проекта","20985","checkEditProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32638","checkEnd2End","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка выхода из системы","32803","checkLogout","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового suite","22727","checkCreateSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка удаления suite","22936","checkDeleteSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Редактирование test case","22652","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка создания нового проекта через API","323","checkCreateProject","Qase Automation Suite","2026-07-23","skipped","2026-07-23","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового вложенного suite","22662","checkCreateNestedSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Редактирование suite","22716","checkEditeSuite","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка нажатия отмена при создании нового test case","24036","checkCancelTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"","4345","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка удаления существующего проекта","23142","checkDeleteProject","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"","2389","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-23","broken","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания нового test case","22633","checkCreateTestCase","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка успешной авторизации пользователя","5437","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"","11342","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
