"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование suite","25249","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"","12778","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка выхода из системы","22570","checkLogout","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка удаления существующего проекта","32369","checkDeleteProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"","2140","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32501","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Редактирование test case","32511","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"","1","deleteProject","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","deleteProject"
"Проверка создания нового test case","32519","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового вложенного suite","32544","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","614","checkCreateProject","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового проекта","32572","checkCreateProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка успешной авторизации пользователя","22511","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка создания нового suite","25243","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка нажатия отмена при создании нового test case","32519","checkCancelTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка удаления test case","32453","checkDeleteTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления suite","32510","checkDeleteSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Редактирование существующего проекта","22522","checkEditProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"","4181","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
