"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания, обновления и удаления тест-кейса через API","1633","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Редактирование существующего проекта","22553","checkEditProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Редактирование suite","25090","checkEditeSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка нажатия отмена при создании нового test case","32434","checkCancelTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"","23758","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"","12086","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешной авторизации пользователя","14825","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка создания нового test case","32447","checkCreateTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка выхода из системы","23804","checkLogout","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"","12599","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка создания нового вложенного suite","32665","checkCreateNestedSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового проекта через API","1008","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка удаления существующего проекта","18246","checkDeleteProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка создания нового suite","20961","checkCreateSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка удаления suite","32351","checkDeleteSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","42816","checkEnd2End","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового проекта","19042","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка удаления test case","32526","checkDeleteTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Редактирование test case","32574","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
