"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания нового проекта через API","911","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового проекта","32361","checkCreateProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка создания нового suite","20297","checkCreateSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Редактирование существующего проекта","24303","checkEditProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового вложенного suite","32684","checkCreateNestedSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","12464","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка выхода из системы","22670","checkLogout","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка удаления существующего проекта","19079","checkDeleteProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Редактирование test case","32502","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка создания, обновления и удаления тест-кейса через API","1549","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка успешной авторизации пользователя","16628","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка нажатия отмена при создании нового test case","32601","checkCancelTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"","21651","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка удаления suite","32586","checkDeleteSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Редактирование suite","25377","checkEditeSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания нового test case","32536","checkCreateTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"","12101","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка удаления test case","32651","checkDeleteTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","42967","checkEnd2End","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
