"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания нового вложенного suite","32501","checkCreateNestedSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","0","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка успешной авторизации пользователя","22681","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка нажатия отмена при создании нового test case","32538","checkCancelTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового проекта","32747","checkCreateProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка создания нового suite","32544","checkCreateSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","22698","checkEnd2End","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"","10713","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового проекта через API","1","checkCreateProject","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового test case","32592","checkCreateTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка удаления существующего проекта","32528","checkDeleteProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Редактирование suite","32437","checkEditeSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка удаления suite","25939","checkDeleteSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","2280","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Редактирование существующего проекта","32729","checkEditProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"","4336","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка выхода из системы","22770","checkLogout","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка удаления test case","32562","checkDeleteTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"Редактирование test case","32660","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка создания, обновления и удаления тест-кейса через API","1","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"","0","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
