"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13040","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка создания нового проекта через API","217","checkCreateProject","Qase Automation Suite","2026-07-24","skipped","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"","13779","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"","3463","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка успешной авторизации пользователя","5612","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","12575","checkEnd2End","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
