"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка дублирования suite","32481","checkDuplicateSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
"Проверка создания нового test case","32538","checkCreateTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового проекта","32328","checkOpenCreatedProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
"","22852","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Редактирование test case","32465","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка создания нового suite","32469","checkCreateSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","42655","checkEnd2End","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"","11877","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания, обновления и удаления тест-кейса через API","1538","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка удаления test case","32419","checkDeleteTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"","12451","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка удаления suite","32491","checkDeleteSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка удаления существующего проекта","32593","checkDeleteProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка выхода из системы","22816","checkLogout","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка нажатия отмена при создании нового test case","32568","checkCancelTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка успешной авторизации пользователя","22360","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование suite","32466","checkEditeSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания нового вложенного suite","32584","checkCreateNestedSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового проекта","32515","checkCreateProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Редактирование существующего проекта","32433","checkEditProject","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового проекта через API","869","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
