"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование test case","32564","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","Thread 1","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка успешной авторизации пользователя","22517","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Thread 1","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32571","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","Thread 1","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового вложенного suite","32399","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового test case","32432","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","Thread 1","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка выхода из системы","4717","checkLogout","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LogoutTest","Thread 2","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового suite","32459","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkCreateSuite"
"Проверка создания нового проекта","32461","checkCreateProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","Thread 1","tests.ui.ProjectTest","checkCreateProject"
"Редактирование suite","32543","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkEditeSuite"
