"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32338","checkEnd2End","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Редактирование suite","32384","checkEditeSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"","0","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"Проверка удаления suite","32573","checkDeleteSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка удаления существующего проекта","5170","checkDeleteProject","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"","3736","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового вложенного suite","32546","checkCreateNestedSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового проекта через API","1","checkCreateProject","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Редактирование test case","32403","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"","4233","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","0","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка создания нового suite","14115","checkCreateSuite","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка успешной авторизации пользователя","5710","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка удаления test case","32276","checkDeleteTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"Проверка создания нового test case","32402","checkCreateTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка нажатия отмена при создании нового test case","32288","checkCancelTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"","2202","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Редактирование существующего проекта","22231","checkEditProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка выхода из системы","22424","checkLogout","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового проекта","8770","checkCreateProject","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
