"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка выхода из системы","1","checkLogout","Qase Automation Suite","2026-07-26","unknown","2026-07-26","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Редактирование suite","22484","checkEditeSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания нового проекта","9876","checkOpenCreatedProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
"Проверка успешной авторизации пользователя","6220","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка удаления suite","22466","checkDeleteSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка создания нового вложенного suite","22429","checkCreateNestedSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка удаления существующего проекта","16979","checkDeleteProject","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка удаления test case","22566","checkDeleteTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"","2078","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка дублирования suite","22385","checkDuplicateSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
"Проверка создания нового проекта через API","1944","checkCreateProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания, обновления и удаления тест-кейса через API","1476","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Редактирование test case","22753","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32453","checkEnd2End","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка нажатия отмена при создании нового test case","22498","checkCancelTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового test case","22579","checkCreateTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"","8264","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового suite","22418","checkCreateSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Редактирование существующего проекта","16827","checkEditProject","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового проекта","22480","checkCreateProject","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","2800","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
