"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания нового проекта через API","384","checkCreateProject","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка выхода из системы","32834","checkLogout","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового проекта","32611","checkCreateProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Редактирование существующего проекта","32775","checkEditProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Редактирование suite","32780","checkEditeSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","33184","checkEnd2End","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка нажатия отмена при создании нового test case","32611","checkCancelTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового test case","32672","checkCreateTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового suite","32589","checkCreateSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Редактирование test case","32816","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка создания нового вложенного suite","32651","checkCreateNestedSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка успешной авторизации пользователя","32745","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка удаления test case","33396","checkDeleteTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления существующего проекта","32708","checkDeleteProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"","2418","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"","4396","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка удаления suite","32767","checkDeleteSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","12600","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
