"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка нажатия отмена при создании нового test case","22802","checkCancelTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка успешной авторизации пользователя","4960","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"","3356","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","8287","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Редактирование suite","22884","checkEditeSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка дублирования suite","23211","checkDuplicateSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
"Проверка создания нового проекта","22814","checkCreateProject","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка удаления существующего проекта","6656","checkDeleteProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка создания нового вложенного suite","22948","checkCreateNestedSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка выхода из системы","1","checkLogout","Qase Automation Suite","2026-07-26","unknown","2026-07-26","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка удаления test case","22837","checkDeleteTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка создания нового проекта","9578","checkOpenCreatedProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
"","2497","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Редактирование существующего проекта","11046","checkEditProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Редактирование test case","22886","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка удаления suite","22853","checkDeleteSuite","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка создания нового проекта через API","1842","checkCreateProject","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32702","checkEnd2End","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового suite","10512","checkCreateSuite","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка создания нового test case","22917","checkCreateTestCase","Qase Automation Suite","2026-07-26","failed","2026-07-26","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания, обновления и удаления тест-кейса через API","1014","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-26","passed","2026-07-26","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
