"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка нажатия отмена при создании нового test case","22986","checkCancelTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового проекта через API","915","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Редактирование test case","22966","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"","2398","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания нового suite","13481","checkCreateSuite","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка создания нового проекта","10432","checkOpenCreatedProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
"Проверка удаления suite","22869","checkDeleteSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","3018","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка удаления существующего проекта","7598","checkDeleteProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"","27637","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового проекта","9121","checkCreateProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Редактирование suite","22928","checkEditeSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания, обновления и удаления тест-кейса через API","1555","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка удаления test case","23085","checkDeleteTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Редактирование существующего проекта","12863","checkEditProject","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32664","checkEnd2End","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового test case","22902","checkCreateTestCase","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового вложенного suite","22896","checkCreateNestedSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка выхода из системы","13007","checkLogout","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка успешной авторизации пользователя","5442","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-24","passed","2026-07-24","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка дублирования suite","22735","checkDuplicateSuite","Qase Automation Suite","2026-07-24","failed","2026-07-24","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
