"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания нового test case","32415","checkCreateTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"","14017","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания, обновления и удаления тест-кейса через API","1116","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Редактирование suite","32516","checkEditeSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32502","checkEnd2End","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"","4190","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка создания нового проекта через API","418","checkCreateProject","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка удаления test case","32400","checkDeleteTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления suite","32407","checkDeleteSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка успешной авторизации пользователя","32397","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование существующего проекта","32486","checkEditProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Редактирование test case","32419","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка удаления существующего проекта","32493","checkDeleteProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка выхода из системы","32321","checkLogout","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового вложенного suite","32470","checkCreateNestedSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","2253","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания нового проекта","32492","checkCreateProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка нажатия отмена при создании нового test case","32489","checkCancelTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового suite","32480","checkCreateSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
