"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование suite","32685","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkEditeSuite"
"Проверка создания нового вложенного suite","32600","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка создания нового проекта","32569","checkCreateProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","Thread 1","tests.ui.ProjectTest","checkCreateProject"
"Редактирование test case","25436","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","Thread 1","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка успешной авторизации пользователя","22529","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Thread 1","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка создания нового suite","32487","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","Thread 1","tests.ui.SuiteTest","checkCreateSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","25223","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","Thread 1","tests.ui.E2ETest","checkEnd2End"
"Проверка выхода из системы","22599","checkLogout","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LogoutTest","Thread 2","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового test case","32544","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","Thread 1","tests.ui.TestCaseTest","checkCreateTestCase"
