"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32846","checkEnd2End","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"","1","setUp","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"","0","setUp","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-23","skipped","2026-07-23","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"","2715","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-23","broken","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"","4336","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Проверка создания нового проекта через API","1","checkCreateProject","Qase Automation Suite","2026-07-23","skipped","2026-07-23","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"","0","tearDown","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка успешной авторизации пользователя","22555","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"","13357","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-23","passed","2026-07-23","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"","0","tearDown","Qase Automation Suite","2026-07-23","failed","2026-07-23","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
