"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование существующего проекта","32617","checkEditProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Редактирование suite","32616","checkEditeSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"","32480","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"Редактирование test case","32761","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка успешной авторизации пользователя","33287","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка удаления suite","32503","checkDeleteSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","1","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"","32581","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка создания нового проекта через API","1","checkCreateProject","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового проекта","32663","checkCreateProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","0","tearDown","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"","0","setUp","Qase Automation Suite","2026-07-20","broken","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка создания нового test case","32485","checkCreateTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"","32538","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка создания нового вложенного suite","32537","checkCreateNestedSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32550","checkEnd2End","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка нажатия отмена при создании нового test case","32717","checkCancelTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка удаления существующего проекта","32578","checkDeleteProject","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка создания нового suite","32618","checkCreateSuite","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка удаления test case","32801","checkDeleteTestCase","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка выхода из системы","32564","checkLogout","Qase Automation Suite","2026-07-20","failed","2026-07-20","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-20","skipped","2026-07-20","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
