"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактирование test case","22757","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка удаления suite","15677","checkDeleteSuite","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"","2770","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","2412","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка удаления test case","22823","checkDeleteTestCase","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка создания нового suite","9984","checkCreateSuite","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка дублирования suite","15840","checkDuplicateSuite","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDuplicateSuite"
"Проверка нажатия отмена при создании нового test case","22833","checkCancelTestCase","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка создания нового проекта","8222","checkCreateProject","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Проверка создания нового вложенного suite","15900","checkCreateNestedSuite","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка удаления существующего проекта","6993","checkDeleteProject","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32574","checkEnd2End","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Редактирование suite","15508","checkEditeSuite","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка выхода из системы","12841","checkLogout","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"","13552","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Проверка успешной авторизации пользователя","4878","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Редактирование существующего проекта","10965","checkEditProject","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"Проверка создания нового test case","22725","checkCreateTestCase","Qase Automation Suite","2026-07-25","failed","2026-07-25","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового проекта через API","197","checkCreateProject","Qase Automation Suite","2026-07-25","skipped","2026-07-25","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка создания нового проекта","9042","checkOpenCreatedProject","Qase Automation Suite","2026-07-25","passed","2026-07-25","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkOpenCreatedProject"
