"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"","2160","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Редактирование suite","32581","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка удаления suite","32530","checkDeleteSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Проверка создания нового проекта","32648","checkCreateProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"Редактирование test case","32595","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Проверка удаления существующего проекта","32621","checkDeleteProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка выхода из системы","22649","checkLogout","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового вложенного suite","32566","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"Проверка удаления test case","32566","checkDeleteTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Редактирование существующего проекта","23334","checkEditProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"","0","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка создания нового проекта через API","0","checkCreateProject","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка успешной авторизации пользователя","4912","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка нажатия отмена при создании нового test case","32537","checkCancelTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"","0","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"Проверка создания нового suite","32550","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32487","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"","4195","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","11998","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"","1","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"Проверка создания нового test case","32543","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
