"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания, обновления и удаления тест-кейса через API","0","checkCreateUpdateDeleteCase","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","checkCreateUpdateDeleteCase"
"Редактирование существующего проекта","22495","checkEditProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkEditProject"
"","1","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","setUp"
"","1","setUp","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","setUp"
"","1","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.CaseAPITest","API TEST","tests.api.CaseAPITest","tearDown"
"","4164","checkLoginWithNegativeCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithNegativeCred"
"","10731","checkLoginWithEmptyEmail","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyEmail"
"Редактирование test case","32631","checkAddTestCaseWithSteps","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkAddTestCaseWithSteps"
"Редактирование suite","32709","checkEditeSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkEditeSuite"
"Проверка нажатия отмена при создании нового test case","32614","checkCancelTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCancelTestCase"
"Проверка успешной авторизации пользователя","5503","checkLoginWithPositiveCred","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithPositiveCred"
"Проверка создания нового вложенного suite","32748","checkCreateNestedSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateNestedSuite"
"","2196","checkLoginWithEmptyPassword","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","UI Tests","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"Проверка полного теста с входом, созданием проекта, созданием suite, test case с шагами, и затем удаление test case, suite и самого проекта","32515","checkEnd2End","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.E2ETest","UI Tests","tests.ui.E2ETest","checkEnd2End"
"Проверка создания нового test case","32597","checkCreateTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkCreateTestCase"
"Проверка создания нового проекта","6279","checkCreateProject","Qase Automation Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkCreateProject"
"","0","tearDown","Qase Automation Suite","2026-07-19","broken","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","tearDown"
"Проверка выхода из системы","22620","checkLogout","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.LogoutTest","UI Tests","tests.ui.LogoutTest","checkLogout"
"Проверка создания нового проекта через API","0","checkCreateProject","Qase Automation Suite","2026-07-19","skipped","2026-07-19","tests.api.ProjectAPITest","API TEST","tests.api.ProjectAPITest","checkCreateProject"
"Проверка удаления существующего проекта","25880","checkDeleteProject","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectTest","UI Tests","tests.ui.ProjectTest","checkDeleteProject"
"Проверка удаления test case","32624","checkDeleteTestCase","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.TestCaseTest","UI Tests","tests.ui.TestCaseTest","checkDeleteTestCase"
"Проверка удаления suite","32683","checkDeleteSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkDeleteSuite"
"Проверка создания нового suite","32740","checkCreateSuite","Qase Automation Suite","2026-07-19","failed","2026-07-19","tests.ui.SuiteTest","UI Tests","tests.ui.SuiteTest","checkCreateSuite"
